Original: get|permission , predicted 1st: get|permission
Original: get|applied|impulse , predicted 1st: get|double|double
Original: set|dbg|draw|size , predicted 1st: double|double|double
Original: get|dbg|draw|size , predicted 1st: get|double|double
Original: set|disable|collisions|between|linked|bodies , predicted 1st: double|double|double
Original: get|disable|collisions|between|linked|bodies , predicted 1st: get|double|double
Original: set|override|num|solver|iterations , predicted 1st: double|double|double
Original: get|override|num|solver|iterations , predicted 1st: get|double|double
Original: set|breaking|impulse|threshold , predicted 1st: double|double|double
Original: get|breaking|impulse|threshold , predicted 1st: get|double|double
Original: set|is|enabled , predicted 1st: double|double|double
Original: get|is|enabled , predicted 1st: get|double|double
Original: set|padding , predicted 1st: double|double|double
Original: get|padding , predicted 1st: get|double|double
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|chassis|connection|cs , predicted 1st: info
Original: get|chassis|connection|cs , predicted 1st: get|info
Original: set|wheel|direction|cs , predicted 1st: info
Original: get|wheel|direction|cs , predicted 1st: get|info
Original: set|wheel|axle|cs , predicted 1st: info
Original: get|wheel|axle|cs , predicted 1st: get|info
Original: set|suspension|rest|length , predicted 1st: set|info|info
Original: get|suspension|rest|length , predicted 1st: get|info|info
Original: set|max|suspension|travel|cm , predicted 1st: set|info|info
Original: get|max|suspension|travel|cm , predicted 1st: get|info|info
Original: set|wheel|radius , predicted 1st: set|info|info
Original: get|wheel|radius , predicted 1st: get|info|info
Original: set|suspension|stiffness , predicted 1st: set|info|info
Original: get|suspension|stiffness , predicted 1st: get|info|info
Original: set|wheels|damping|compression , predicted 1st: set|info|info
Original: get|wheels|damping|compression , predicted 1st: get|info|info
Original: set|wheels|damping|relaxation , predicted 1st: set|info|info
Original: get|wheels|damping|relaxation , predicted 1st: get|info|info
Original: set|friction|slip , predicted 1st: set|info|info
Original: get|friction|slip , predicted 1st: get|info|info
Original: set|max|suspension|force , predicted 1st: set|info|info
Original: get|max|suspension|force , predicted 1st: get|info|info
Original: set|b|is|front|wheel , predicted 1st: set|info|info
Original: get|b|is|front|wheel , predicted 1st: is|info
Original: get|circle , predicted 1st: get
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: size , predicted 1st: get|array
Original: at , predicted 1st: 
Original: clear , predicted 1st: clear
Original: pop|back , predicted 1st: pop|pop|array
Original: resize|no|initialize , predicted 1st: array|array
Original: resize , predicted 1st: fill
Original: resize , predicted 1st: 
Original: expand|non|initializing , predicted 1st: get
Original: expand , predicted 1st: 
Original: expand , predicted 1st: get
Original: push|back , predicted 1st: push|push|instruction
Original: capacity , predicted 1st: get|capacity
Original: reserve , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: swap , predicted 1st: 
Original: find|binary|search , predicted 1st: get
Original: find|linear|search , predicted 1st: 
Original: remove , predicted 1st: remove|array
Original: initialize|from|buffer , predicted 1st: array
Original: copy|from|array , predicted 1st: copy
Original: init , predicted 1st: do|create
Original: evaluate , predicted 1st: transform
Original: get|exception , predicted 1st: get|exception
Original: get|cause , predicted 1st: get|exception
Original: resolve , predicted 1st: get|file
Original: create , predicted 1st: create|shape
Original: create , predicted 1st: set|shape
Original: dispose , predicted 1st: dispose
Original: construct , predicted 1st: create
Original: construct , predicted 1st: create
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|type|constraint|data , predicted 1st: add|constraint
Original: get|type|constraint|data , predicted 1st: get
Original: set|rb|a|frame , predicted 1st: 
Original: get|rb|a|frame , predicted 1st: get
Original: set|rb|b|frame , predicted 1st: 
Original: get|rb|b|frame , predicted 1st: get
Original: set|linear|upper|limit , predicted 1st: 
Original: get|linear|upper|limit , predicted 1st: get
Original: set|linear|lower|limit , predicted 1st: 
Original: get|linear|lower|limit , predicted 1st: get
Original: set|linear|bounce , predicted 1st: 
Original: get|linear|bounce , predicted 1st: get
Original: set|linear|stop|erp , predicted 1st: 
Original: get|linear|stop|erp , predicted 1st: get
Original: set|linear|stop|cfm , predicted 1st: 
Original: get|linear|stop|cfm , predicted 1st: get
Original: set|linear|motor|erp , predicted 1st: 
Original: get|linear|motor|erp , predicted 1st: get
Original: set|linear|motor|cfm , predicted 1st: 
Original: get|linear|motor|cfm , predicted 1st: get
Original: set|linear|target|velocity , predicted 1st: 
Original: get|linear|target|velocity , predicted 1st: get
Original: set|linear|max|motor|force , predicted 1st: 
Original: get|linear|max|motor|force , predicted 1st: get
Original: set|linear|servo|target , predicted 1st: 
Original: get|linear|servo|target , predicted 1st: get
Original: set|linear|spring|stiffness , predicted 1st: 
Original: get|linear|spring|stiffness , predicted 1st: get
Original: set|linear|spring|damping , predicted 1st: 
Original: get|linear|spring|damping , predicted 1st: get
Original: set|linear|equilibrium|point , predicted 1st: 
Original: get|linear|equilibrium|point , predicted 1st: get
Original: set|linear|enable|motor , predicted 1st: 
Original: get|linear|enable|motor , predicted 1st: get|constraint
Original: set|linear|servo|motor , predicted 1st: 
Original: get|linear|servo|motor , predicted 1st: get|constraint
Original: set|linear|enable|spring , predicted 1st: 
Original: get|linear|enable|spring , predicted 1st: get|constraint
Original: set|linear|spring|stiffness|limited , predicted 1st: 
Original: get|linear|spring|stiffness|limited , predicted 1st: get|constraint
Original: set|linear|spring|damping|limited , predicted 1st: 
Original: get|linear|spring|damping|limited , predicted 1st: get|constraint
Original: set|padding , predicted 1st: 
Original: get|padding , predicted 1st: get|constraint
Original: set|angular|upper|limit , predicted 1st: 
Original: get|angular|upper|limit , predicted 1st: get
Original: set|angular|lower|limit , predicted 1st: 
Original: get|angular|lower|limit , predicted 1st: get
Original: set|angular|bounce , predicted 1st: 
Original: get|angular|bounce , predicted 1st: get
Original: set|angular|stop|erp , predicted 1st: 
Original: get|angular|stop|erp , predicted 1st: get
Original: set|angular|stop|cfm , predicted 1st: 
Original: get|angular|stop|cfm , predicted 1st: get
Original: set|angular|motor|erp , predicted 1st: 
Original: get|angular|motor|erp , predicted 1st: get
Original: set|angular|motor|cfm , predicted 1st: 
Original: get|angular|motor|cfm , predicted 1st: get
Original: set|angular|target|velocity , predicted 1st: 
Original: get|angular|target|velocity , predicted 1st: get
Original: set|angular|max|motor|force , predicted 1st: 
Original: get|angular|max|motor|force , predicted 1st: get
Original: set|angular|servo|target , predicted 1st: 
Original: get|angular|servo|target , predicted 1st: get
Original: set|angular|spring|stiffness , predicted 1st: 
Original: get|angular|spring|stiffness , predicted 1st: get
Original: set|angular|spring|damping , predicted 1st: 
Original: get|angular|spring|damping , predicted 1st: get
Original: set|angular|equilibrium|point , predicted 1st: 
Original: get|angular|equilibrium|point , predicted 1st: get
Original: set|angular|enable|motor , predicted 1st: 
Original: get|angular|enable|motor , predicted 1st: get|constraint
Original: set|angular|servo|motor , predicted 1st: 
Original: get|angular|servo|motor , predicted 1st: get|constraint
Original: set|angular|enable|spring , predicted 1st: 
Original: get|angular|enable|spring , predicted 1st: get|constraint
Original: set|angular|spring|stiffness|limited , predicted 1st: 
Original: get|angular|spring|stiffness|limited , predicted 1st: get|constraint
Original: set|angular|spring|damping|limited , predicted 1st: 
Original: get|angular|spring|damping|limited , predicted 1st: get|constraint
Original: set|rotate|order , predicted 1st: constraint
Original: get|rotate|order , predicted 1st: get|constraint
Original: get , predicted 1st: get|position
Original: get , predicted 1st: get
Original: get , predicted 1st: write
Original: is|direct , predicted 1st: is
Original: order , predicted 1st: order
Original: sub|sequence , predicted 1st: get|sequence|sequence
Original: to|string , predicted 1st: to|string
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|type|constraint|data , predicted 1st: add|constraint
Original: get|type|constraint|data , predicted 1st: get
Original: set|rb|a|frame , predicted 1st: set
Original: get|rb|a|frame , predicted 1st: get
Original: set|rb|b|frame , predicted 1st: set
Original: get|rb|b|frame , predicted 1st: get
Original: set|linear|upper|limit , predicted 1st: set
Original: get|linear|upper|limit , predicted 1st: get
Original: set|linear|lower|limit , predicted 1st: set
Original: get|linear|lower|limit , predicted 1st: get
Original: set|linear|bounce , predicted 1st: set
Original: get|linear|bounce , predicted 1st: get
Original: set|linear|stop|erp , predicted 1st: set
Original: get|linear|stop|erp , predicted 1st: get
Original: set|linear|stop|cfm , predicted 1st: set
Original: get|linear|stop|cfm , predicted 1st: get
Original: set|linear|motor|erp , predicted 1st: set
Original: get|linear|motor|erp , predicted 1st: get
Original: set|linear|motor|cfm , predicted 1st: set
Original: get|linear|motor|cfm , predicted 1st: get
Original: set|linear|target|velocity , predicted 1st: set
Original: get|linear|target|velocity , predicted 1st: get
Original: set|linear|max|motor|force , predicted 1st: set
Original: get|linear|max|motor|force , predicted 1st: get
Original: set|linear|servo|target , predicted 1st: set
Original: get|linear|servo|target , predicted 1st: get
Original: set|linear|spring|stiffness , predicted 1st: set
Original: get|linear|spring|stiffness , predicted 1st: get
Original: set|linear|spring|damping , predicted 1st: set
Original: get|linear|spring|damping , predicted 1st: get
Original: set|linear|equilibrium|point , predicted 1st: set
Original: get|linear|equilibrium|point , predicted 1st: get
Original: set|linear|enable|motor , predicted 1st: 
Original: get|linear|enable|motor , predicted 1st: get|constraint
Original: set|linear|servo|motor , predicted 1st: 
Original: get|linear|servo|motor , predicted 1st: get|constraint
Original: set|linear|enable|spring , predicted 1st: 
Original: get|linear|enable|spring , predicted 1st: get|constraint
Original: set|linear|spring|stiffness|limited , predicted 1st: 
Original: get|linear|spring|stiffness|limited , predicted 1st: get|constraint
Original: set|linear|spring|damping|limited , predicted 1st: 
Original: get|linear|spring|damping|limited , predicted 1st: get|constraint
Original: set|padding , predicted 1st: 
Original: get|padding , predicted 1st: get|constraint
Original: set|angular|upper|limit , predicted 1st: set
Original: get|angular|upper|limit , predicted 1st: get
Original: set|angular|lower|limit , predicted 1st: set
Original: get|angular|lower|limit , predicted 1st: get
Original: set|angular|bounce , predicted 1st: set
Original: get|angular|bounce , predicted 1st: get
Original: set|angular|stop|erp , predicted 1st: set
Original: get|angular|stop|erp , predicted 1st: get
Original: set|angular|stop|cfm , predicted 1st: set
Original: get|angular|stop|cfm , predicted 1st: get
Original: set|angular|motor|erp , predicted 1st: set
Original: get|angular|motor|erp , predicted 1st: get
Original: set|angular|motor|cfm , predicted 1st: set
Original: get|angular|motor|cfm , predicted 1st: get
Original: set|angular|target|velocity , predicted 1st: set
Original: get|angular|target|velocity , predicted 1st: get
Original: set|angular|max|motor|force , predicted 1st: set
Original: get|angular|max|motor|force , predicted 1st: get
Original: set|angular|servo|target , predicted 1st: set
Original: get|angular|servo|target , predicted 1st: get
Original: set|angular|spring|stiffness , predicted 1st: set
Original: get|angular|spring|stiffness , predicted 1st: get
Original: set|angular|spring|damping , predicted 1st: set
Original: get|angular|spring|damping , predicted 1st: get
Original: set|angular|equilibrium|point , predicted 1st: set
Original: get|angular|equilibrium|point , predicted 1st: get
Original: set|angular|enable|motor , predicted 1st: 
Original: get|angular|enable|motor , predicted 1st: get|constraint
Original: set|angular|servo|motor , predicted 1st: 
Original: get|angular|servo|motor , predicted 1st: get|constraint
Original: set|angular|enable|spring , predicted 1st: 
Original: get|angular|enable|spring , predicted 1st: get|constraint
Original: set|angular|spring|stiffness|limited , predicted 1st: 
Original: get|angular|spring|stiffness|limited , predicted 1st: get|constraint
Original: set|angular|spring|damping|limited , predicted 1st: 
Original: get|angular|spring|damping|limited , predicted 1st: get|constraint
Original: set|rotate|order , predicted 1st: constraint
Original: get|rotate|order , predicted 1st: get|constraint
Original: add , predicted 1st: add|entity
Original: update , predicted 1st: run
Original: render , predicted 1st: 
Original: dispose , predicted 1st: dispose
Original: set|debug|mode , predicted 1st: set|debug|mode
Original: get|debug|mode , predicted 1st: get|debug|mode
Original: set|style , predicted 1st: set|style|style
Original: get|style , predicted 1st: get|style
Original: draw , predicted 1st: draw
Original: get|image , predicted 1st: get|image
Original: get|image|cell , predicted 1st: get|cell|cell
Original: get|methods , predicted 1st: get|methods
Original: get|return|type , predicted 1st: get|return|type
Original: get|head , predicted 1st: get|head
Original: get|argument|types , predicted 1st: get|argument|types
Original: get|start|index , predicted 1st: get|start|index
Original: get|end|index , predicted 1st: get|end|index
Original: fill , predicted 1st: read
Original: read|line , predicted 1st: to|string
Original: read , predicted 1st: read
Original: close , predicted 1st: close
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: internal|process|all|triangles , predicted 1st: 
Original: calculate|aabb|brute|force , predicted 1st: 
Original: get|locked|vertex|index|base , predicted 1st: 
Original: get|locked|vertex|index|base , predicted 1st: 
Original: get|locked|read|only|vertex|index|base , predicted 1st: 
Original: get|locked|read|only|vertex|index|base , predicted 1st: 
Original: un|lock|vertex|base , predicted 1st: 
Original: un|lock|read|only|vertex|base , predicted 1st: 
Original: get|num|sub|parts , predicted 1st: get
Original: preallocate|vertices , predicted 1st: 
Original: preallocate|indices , predicted 1st: 
Original: has|premade|aabb , predicted 1st: is
Original: set|premade|aabb , predicted 1st: set
Original: get|premade|aabb , predicted 1st: 
Original: get|scaling , predicted 1st: get
Original: set|scaling , predicted 1st: set
Original: calculate|serialize|buffer|size , predicted 1st: get
Original: serialize , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: draw , predicted 1st: 
Original: draw , predicted 1st: 
Original: draw|infos , predicted 1st: draw
Original: draw|node|tree , predicted 1st: draw
Original: draw|node|tree , predicted 1st: 
Original: draw|node|tree , predicted 1st: 
Original: draw|face|tree , predicted 1st: draw
Original: draw|face|tree , predicted 1st: 
Original: draw|face|tree , predicted 1st: 
Original: draw|cluster|tree , predicted 1st: draw
Original: draw|cluster|tree , predicted 1st: 
Original: draw|cluster|tree , predicted 1st: 
Original: draw|frame , predicted 1st: 
Original: create|rope , predicted 1st: get|soft|soft|soft
Original: create|patch , predicted 1st: 
Original: create|patch|uv , predicted 1st: 
Original: create|patch|uv , predicted 1st: 
Original: calculate|uv , predicted 1st: calculate|width
Original: create|ellipsoid , predicted 1st: get|soft|soft|soft
Original: create|from|tri|mesh , predicted 1st: get|soft|soft
Original: create|from|tri|mesh , predicted 1st: get
Original: create|from|convex|hull , predicted 1st: get|soft|soft|soft
Original: create|from|convex|hull , predicted 1st: get|soft|soft|soft
Original: create|from|tet|gen|data , predicted 1st: 
Original: reoptimize|link|order , predicted 1st: set
Original: read , predicted 1st: count
Original: read , predicted 1st: 
Original: skip , predicted 1st: 
Original: available , predicted 1st: count
Original: mark|supported , predicted 1st: is
Original: mark , predicted 1st: mark
Original: reset , predicted 1st: reset
Original: close , predicted 1st: foo
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|erp , predicted 1st: set
Original: get|erp , predicted 1st: get
Original: set|idt , predicted 1st: set
Original: get|idt , predicted 1st: get
Original: set|margin , predicted 1st: set
Original: get|margin , predicted 1st: get
Original: set|friction , predicted 1st: set
Original: get|friction , predicted 1st: get
Original: set|threshold , predicted 1st: set
Original: get|threshold , predicted 1st: get
Original: solve|contact , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|psb , predicted 1st: 
Original: get|psb , predicted 1st: get
Original: set|col|obj|wrap , predicted 1st: 
Original: get|col|obj|wrap , predicted 1st: get
Original: process|col|obj , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|bodies , predicted 1st: set
Original: get|bodies , predicted 1st: get
Original: process|soft|soft , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: do|node , predicted 1st: set
Original: set|psb , predicted 1st: set
Original: get|psb , predicted 1st: get
Original: set|col|obj|wrap , predicted 1st: 
Original: get|col|obj|wrap , predicted 1st: get
Original: set|rigid|body , predicted 1st: 
Original: get|rigid|body , predicted 1st: get
Original: set|dynmargin , predicted 1st: set
Original: get|dynmargin , predicted 1st: get
Original: set|stamargin , predicted 1st: set
Original: get|stamargin , predicted 1st: get
Original: reset , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|psb , predicted 1st: set
Original: get|psb , predicted 1st: get
Original: set|mrg , predicted 1st: set
Original: get|mrg , predicted 1st: get
Original: pop , predicted 1st: next
Original: pop , predicted 1st: 
Original: push , predicted 1st: set|arg
Original: reset , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set , predicted 1st: set
Original: set , predicted 1st: set
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|rb|a , predicted 1st: set|data
Original: get|rb|a , predicted 1st: get|data
Original: set|rb|b , predicted 1st: set|data
Original: get|rb|b , predicted 1st: get|data
Original: set|name , predicted 1st: set|data|name
Original: get|name , predicted 1st: get|data|name
Original: set|object|type , predicted 1st: set|data|object
Original: get|object|type , predicted 1st: get|data
Original: set|user|constraint|type , predicted 1st: set|user|data
Original: get|user|constraint|type , predicted 1st: get|user|data
Original: set|user|constraint|id , predicted 1st: set|user|data
Original: get|user|constraint|id , predicted 1st: get|user|data
Original: set|needs|feedback , predicted 1st: data
Original: get|needs|feedback , predicted 1st: get|data
Original: set|applied|impulse , predicted 1st: set|data
Original: get|applied|impulse , predicted 1st: get|data
Original: set|dbg|draw|size , predicted 1st: set|data
Original: get|dbg|draw|size , predicted 1st: get|data
Original: set|disable|collisions|between|linked|bodies , predicted 1st: set|data|enabled
Original: get|disable|collisions|between|linked|bodies , predicted 1st: get|data
Original: set|override|num|solver|iterations , predicted 1st: set|data
Original: get|override|num|solver|iterations , predicted 1st: get|data
Original: set|breaking|impulse|threshold , predicted 1st: set|data
Original: get|breaking|impulse|threshold , predicted 1st: get|data
Original: set|is|enabled , predicted 1st: set|data
Original: get|is|enabled , predicted 1st: get|data
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|hash|table|ptr , predicted 1st: set|data
Original: get|hash|table|ptr , predicted 1st: get|data|map
Original: set|next|ptr , predicted 1st: set|data
Original: get|next|ptr , predicted 1st: get|data|map
Original: set|value|array|ptr , predicted 1st: set|data|data
Original: get|value|array|ptr , predicted 1st: get|data|data
Original: set|key|array|ptr , predicted 1st: set|data
Original: get|key|array|ptr , predicted 1st: get|data|map
Original: set|convex|epsilon , predicted 1st: set|data|map
Original: get|convex|epsilon , predicted 1st: get|data|data
Original: set|planar|epsilon , predicted 1st: set|data|map
Original: get|planar|epsilon , predicted 1st: get|data|data
Original: set|equal|vertex|threshold , predicted 1st: set|data|map
Original: get|equal|vertex|threshold , predicted 1st: get|data|data
Original: set|edge|distance|threshold , predicted 1st: set|data|map
Original: get|edge|distance|threshold , predicted 1st: get|data|data
Original: set|zero|area|threshold , predicted 1st: set|data|map
Original: get|zero|area|threshold , predicted 1st: get|data|data
Original: set|next|size , predicted 1st: set|data|map
Original: get|next|size , predicted 1st: get|data
Original: set|hash|table|size , predicted 1st: set|data|map
Original: get|hash|table|size , predicted 1st: get|data
Original: set|num|values , predicted 1st: set|data|map
Original: get|num|values , predicted 1st: get|data
Original: set|num|keys , predicted 1st: set|data|map
Original: get|num|keys , predicted 1st: get|data
Original: set|padding , predicted 1st: set|data|map
Original: get|padding , predicted 1st: get|data|data|map
Original: copy , predicted 1st: create|sequence|sequence
Original: as|read|only|buffer , predicted 1st: get|char
Original: compact , predicted 1st: get|buffer|buffer
Original: duplicate , predicted 1st: copy
Original: get , predicted 1st: get|sequence
Original: get , predicted 1st: index|at
Original: get , predicted 1st: get|chars
Original: is|direct , predicted 1st: is
Original: is|read|only , predicted 1st: is
Original: order , predicted 1st: order
Original: protected|array , predicted 1st: get
Original: protected|array|offset , predicted 1st: get
Original: protected|has|array , predicted 1st: is
Original: put , predicted 1st: read|char
Original: put , predicted 1st: char
Original: put , predicted 1st: write
Original: put , predicted 1st: write
Original: slice , predicted 1st: get|sequence|sequence
Original: sub|sequence , predicted 1st: get|sequence|sequence
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|lower|limit , predicted 1st: 
Original: get|lower|limit , predicted 1st: get
Original: set|upper|limit , predicted 1st: 
Original: get|upper|limit , predicted 1st: get
Original: set|accumulated|impulse , predicted 1st: 
Original: get|accumulated|impulse , predicted 1st: get
Original: set|limit|softness , predicted 1st: set|limit|limit
Original: get|limit|softness , predicted 1st: get|limit
Original: set|damping , predicted 1st: set
Original: get|damping , predicted 1st: get
Original: set|restitution , predicted 1st: set
Original: get|restitution , predicted 1st: get
Original: set|normal|cfm , predicted 1st: 
Original: get|normal|cfm , predicted 1st: get
Original: set|stop|erp , predicted 1st: 
Original: get|stop|erp , predicted 1st: get
Original: set|stop|cfm , predicted 1st: 
Original: get|stop|cfm , predicted 1st: get
Original: set|enable|motor , predicted 1st: set
Original: get|enable|motor , predicted 1st: get
Original: set|target|velocity , predicted 1st: 
Original: get|target|velocity , predicted 1st: get
Original: set|max|motor|force , predicted 1st: 
Original: get|max|motor|force , predicted 1st: get|max
Original: set|current|limit|error , predicted 1st: 
Original: get|current|limit|error , predicted 1st: get
Original: set|current|linear|diff , predicted 1st: 
Original: get|current|linear|diff , predicted 1st: get
Original: set|current|limit , predicted 1st: set
Original: get|current|limit , predicted 1st: get
Original: is|limited , predicted 1st: is|limit
Original: need|apply|force , predicted 1st: limit
Original: test|limit|value , predicted 1st: 
Original: solve|linear|axis , predicted 1st: 
Original: obtain , predicted 1st: run
Original: release , predicted 1st: dispose
Original: is|obtained , predicted 1st: has|ref|count
Original: construct , predicted 1st: destroy
Original: reset , predicted 1st: set|c
Original: equals , predicted 1st: equals
Original: hash|code , predicted 1st: hash|code
Original: get|c|pointer , predicted 1st: get|pointer
Original: take|ownership , predicted 1st: set|c
Original: release|ownership , predicted 1st: stop
Original: has|ownership , predicted 1st: is|c|c
Original: delete , predicted 1st: reset
Original: dispose , predicted 1st: run
Original: is|disposed , predicted 1st: is|disposed
Original: to|string , predicted 1st: to|string
Original: destroy , predicted 1st: destroy
Original: finalize , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: swig|constructbt|triangle|index|vertex|material|array , predicted 1st: get
Original: add|material|properties , predicted 1st: 
Original: add|material|properties , predicted 1st: 
Original: get|locked|material|base , predicted 1st: 
Original: get|locked|material|base , predicted 1st: 
Original: get|locked|read|only|material|base , predicted 1st: 
Original: get|locked|read|only|material|base , predicted 1st: 
Original: add , predicted 1st: run
Original: add , predicted 1st: add
Original: remove , predicted 1st: run
Original: remove , predicted 1st: remove
Original: clear , predicted 1st: clear
Original: set|checked , predicted 1st: set|button|text
Original: can|check , predicted 1st: update
Original: uncheck|all , predicted 1st: test
Original: get|checked , predicted 1st: get|checked
Original: get|checked|index , predicted 1st: get|current|tab|index
Original: get|all|checked , predicted 1st: get|checked|buttons
Original: get|buttons , predicted 1st: get|buttons
Original: set|min|check|count , predicted 1st: set|min|count
Original: set|max|check|count , predicted 1st: set|max|max|count
Original: set|uncheck|last , predicted 1st: set|last
Original: render , predicted 1st: render
Original: render|bodies , predicted 1st: do|paint
Original: render|body , predicted 1st: paint
Original: draw|aabb , predicted 1st: do|create|shape
Original: draw|shape , predicted 1st: draw
Original: draw|solid|circle , predicted 1st: 
Original: draw|solid|polygon , predicted 1st: get|renderer|renderer
Original: draw|joint , predicted 1st: draw
Original: draw|segment , predicted 1st: draw
Original: draw|contact , predicted 1st: check
Original: is|draw|bodies , predicted 1st: is
Original: set|draw|bodies , predicted 1st: set
Original: is|draw|joints , predicted 1st: is|draw
Original: set|draw|joints , predicted 1st: set|draw
Original: is|draw|aab|bs , predicted 1st: is
Original: set|draw|aab|bs , predicted 1st: set
Original: is|draw|inactive|bodies , predicted 1st: is|inactive|inactive
Original: set|draw|inactive|bodies , predicted 1st: set|inactive|inactive
Original: is|draw|velocities , predicted 1st: is|draw
Original: set|draw|velocities , predicted 1st: set|draw
Original: is|draw|contacts , predicted 1st: is
Original: set|draw|contacts , predicted 1st: set|draw
Original: get|axis , predicted 1st: get
Original: set|axis , predicted 1st: set|debug|renderer
Original: dispose , predicted 1st: dispose
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|floats , predicted 1st: set
Original: get|floats , predicted 1st: get
Original: dot , predicted 1st: 
Original: length , predicted 1st: 
Original: length , predicted 1st: 
Original: norm , predicted 1st: 
Original: distance , predicted 1st: 
Original: distance , predicted 1st: 
Original: safe|normalize , predicted 1st: 
Original: normalize , predicted 1st: 
Original: normalized , predicted 1st: 
Original: rotate , predicted 1st: 
Original: angle , predicted 1st: 
Original: absolute , predicted 1st: 
Original: cross , predicted 1st: 
Original: triple , predicted 1st: 
Original: min|axis , predicted 1st: get
Original: max|axis , predicted 1st: get|max
Original: furthest|axis , predicted 1st: get
Original: closest|axis , predicted 1st: get
Original: set|interpolate , predicted 1st: set
Original: lerp , predicted 1st: 
Original: get|x , predicted 1st: get
Original: get|y , predicted 1st: 
Original: get|z , predicted 1st: get
Original: set|x , predicted 1st: set|x
Original: set|y , predicted 1st: set
Original: set|z , predicted 1st: 
Original: set|w , predicted 1st: set|w
Original: x , predicted 1st: 
Original: y , predicted 1st: 
Original: z , predicted 1st: 
Original: w , predicted 1st: 
Original: set|max , predicted 1st: 
Original: set|min , predicted 1st: set|min
Original: set|value , predicted 1st: set|value
Original: get|skew|symmetric|matrix , predicted 1st: 
Original: set|zero , predicted 1st: set
Original: is|zero , predicted 1st: is
Original: fuzzy|zero , predicted 1st: zero
Original: serialize , predicted 1st: serialize
Original: de|serialize , predicted 1st: do
Original: serialize|float , predicted 1st: serialize|float
Original: de|serialize|float , predicted 1st: do
Original: serialize|double , predicted 1st: serialize
Original: de|serialize|double , predicted 1st: 
Original: max|dot , predicted 1st: get
Original: min|dot , predicted 1st: get
Original: dot , predicted 1st: 
Original: reset , predicted 1st: 
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|me , predicted 1st: 
Original: get|me , predicted 1st: get
Original: set|allowed|penetration , predicted 1st: 
Original: get|allowed|penetration , predicted 1st: 
Original: needs|collision , predicted 1st: 
Original: reset , predicted 1st: reset
Original: get|c|ptr , predicted 1st: get
Original: finalize , predicted 1st: run
Original: delete , predicted 1st: delete
Original: set|lower|limit , predicted 1st: 
Original: get|lower|limit , predicted 1st: get
Original: set|upper|limit , predicted 1st: 
Original: get|upper|limit , predicted 1st: get
Original: set|bounce , predicted 1st: 
Original: get|bounce , predicted 1st: get
Original: set|stop|erp , predicted 1st: 
Original: get|stop|erp , predicted 1st: get
